carid, pointid, lon,lat,elevation,speed,sat,heading,dummydatetime
51,1066,6.09175583,52.50276755,44.787,43.848,29,265.15333724100293,2022-02-05T14:00:00Z
51,1067,6.09156039,52.5027834,44.371,47.268,28,262.5223182063229,2022-02-05T14:00:00Z
51,1068,6.09135562,52.50279444,44.487,50.04,27,265.0115246969447,2022-02-05T14:00:00Z
51,1069,6.09114488,52.50280691,44.498,50.472,27,264.52820640243993,2022-02-05T14:00:00Z
51,1070,6.09094325,52.50282073,44.424,50.22,28,263.66944604904506,2022-02-05T14:00:00Z
51,1071,6.09073667,52.50283435,44.327,50.904,28,263.9085327174571,2022-02-05T14:00:00Z
51,1072,6.09052758,52.50284152,44.223,51.588,30,266.8207953901962,2022-02-05T14:00:00Z
51,1073,6.09031887,52.50284874,43.986,51.012,30,266.79293364191494,2022-02-05T14:00:00Z
51,1074,6.09011616,52.5028574,43.682,50.184,29,266.04287672862716,2022-02-05T14:00:00Z
51,1075,6.08991234,52.50286655,43.516,49.392,29,265.8426844377584,2022-02-05T14:00:00Z
51,1076,6.08971107,52.5028717,43.743,48.816,30,267.62574886013624,2022-02-05T14:00:00Z
51,1077,6.08951324,52.50288356,43.813,48.204,32,264.457596929187,2022-02-05T14:00:00Z
51,1078,6.08931642,52.50289819,43.597,48.744,32,263.1406785450227,2022-02-05T14:00:00Z
51,1079,6.08911589,52.50290855,43.687,49.464,32,265.2194177561367,2022-02-05T14:00:00Z
51,1080,6.08891247,52.50291828,43.602,49.788000000000004,32,265.5721116405599,2022-02-05T14:00:00Z
51,1081,6.08870542,52.50293107,43.754,50.832,33,264.2905093311324,2022-02-05T14:00:00Z
51,1082,6.08849475,52.50294254,43.54,51.336,33,264.9634805406304,2022-02-05T14:00:00Z
51,1083,6.08828192,52.50295466,43.473,51.192,31,264.7335923068535,2022-02-05T14:00:00Z
51,1084,6.08807488,52.50296578,43.53,50.364000000000004,31,265.03137941409614,2022-02-05T14:00:00Z
51,1085,6.08787312,52.50297797,43.557,49.824,31,264.4152263877374,2022-02-05T14:00:00Z
51,1086,6.08767031,52.50298598,43.445,49.176,28,266.34110290671754,2022-02-05T14:00:00Z
51,1087,6.08747148,52.50299627,43.43,47.736,28,265.2117370403841,2022-02-05T14:00:00Z
51,1088,6.08728233,52.50300759,43.257,46.368,26,264.468187924768,2022-02-05T14:00:00Z
51,1089,6.08709692,52.50301807,43.132,45.036,25,264.77354395541437,2022-02-05T14:00:00Z
51,1090,6.08692202,52.50302765,43.24,43.776,25,264.93460545977007,2022-02-05T14:00:00Z
51,1091,6.08674662,52.50304041,43.251,43.308,24,263.2870893689968,2022-02-05T14:00:00Z
